left_arm_torques.tau_1,left_arm_torques.tau_2,left_arm_torques.tau_3,left_arm_torques.tau_4,left_arm_torques.tau_5,left_arm_torques.tau_6,left_arm_torques.tau_7,right_arm_torques.tau_1,right_arm_torques.tau_2,right_arm_torques.tau_3,right_arm_torques.tau_4,right_arm_torques.tau_5,right_arm_torques.tau_6,right_arm_torques.tau_7,waist_torque.tau_w,time.t
-5.44922,2.46094,0.727095,-3.86719,-0.5,-0.3125,-0.1875,-4.74609,-2.37305,-0.559304,-3.25195,0.4375,-0.3125,0.5625,-0.46875,0.999999
-5.53711,2.54883,0.671165,-3.86719,-0.5,-0.3125,-0.25,-4.92188,-2.37305,-0.559304,-3.25195,0.375,-0.25,0.5625,-0.585938,1.01
-5.44922,2.54883,0.727095,-3.95508,-0.5,-0.25,-0.1875,-4.74609,-2.28516,-0.559304,-3.25195,0.4375,-0.25,0.5625,-0.175781,1.02
-5.53711,2.54883,0.727095,-3.95508,-0.5,-0.25,-0.1875,-4.74609,-2.28516,-0.559304,-3.25195,0.375,-0.25,0.5625,-0.175781,1.03
-5.53711,2.54883,0.727095,-3.95508,-0.5,-0.25,-0.25,-4.92188,-2.28516,-0.559304,-3.16406,0.3125,-0.25,0.5625,0,1.04
-5.53711,2.54883,0.727095,-3.95508,-0.5,-0.25,-0.1875,-4.74609,-2.37305,-0.615234,-3.16406,0.4375,-0.25,0.5625,-0.117188,1.05
-5.53711,2.54883,0.727095,-3.95508,-0.5,-0.3125,-0.1875,-4.74609,-2.37305,-0.559304,-3.16406,0.4375,-0.25,0.5625,-0.234375,1.06
-5.53711,2.54883,0.727095,-3.86719,-0.5,-0.25,-0.1875,-4.74609,-2.37305,-0.559304,-3.16406,0.4375,-0.25,0.5625,-0.0585938,1.07
-5.53711,2.54883,0.727095,-3.95508,-0.5625,-0.3125,-0.1875,-4.74609,-2.28516,-0.615234,-3.16406,0.4375,-0.25,0.5625,-0.410156,1.08
-5.53711,2.54883,0.727095,-3.95508,-0.5,-0.25,-0.3125,-4.74609,-2.37305,-0.559304,-3.16406,0.4375,-0.25,0.5625,0.234375,1.09
-5.53711,2.46094,0.727095,-3.86719,-0.5,-0.25,-0.25,-4.74609,-2.37305,-0.559304,-3.16406,0.4375,-0.25,0.5625,-0.644531,1.1
-5.53711,2.54883,0.671165,-3.95508,-0.5,-0.25,-0.1875,-4.74609,-2.28516,-0.615234,-3.16406,0.4375,-0.25,0.5625,-0.292969,1.11
-5.53711,2.54883,0.671165,-3.95508,-0.5,-0.25,-0.25,-4.92188,-2.28516,-0.503374,-3.16406,0.4375,-0.25,0.5625,-0.292969,1.12
-5.53711,2.54883,0.727095,-3.95508,-0.5,-0.25,-0.1875,-4.74609,-2.37305,-0.559304,-3.16406,0.3125,-0.25,0.5625,-0.292969,1.13
-5.53711,2.54883,0.671165,-3.95508,-0.5,-0.3125,-0.25,-4.74609,-2.37305,-0.559304,-3.16406,0.4375,-0.25,0.5625,-0.175781,1.14
-5.53711,2.54883,0.727095,-3.95508,-0.5,-0.3125,-0.1875,-4.74609,-2.28516,-0.559304,-3.16406,0.375,-0.3125,0.5625,-0.351562,1.15
-5.53711,2.54883,0.727095,-3.95508,-0.5,-0.25,-0.25,-4.92188,-2.37305,-0.559304,-3.16406,0.4375,-0.25,0.5625,-0.585938,1.16
-5.53711,2.54883,0.671165,-3.95508,-0.5,-0.3125,-0.25,-4.74609,-2.28516,-0.559304,-3.16406,0.4375,-0.25,0.5625,-0.292969,1.17
-5.44922,2.54883,0.727095,-3.95508,-0.5,-0.25,-0.1875,-4.74609,-2.37305,-0.559304,-3.16406,0.375,-0.25,0.5625,-0.234375,1.18
-5.53711,2.63672,0.671165,-3.95508,-0.5,-0.25,-0.25,-4.74609,-2.37305,-0.559304,-3.16406,0.4375,-0.25,0.5625,-0.292969,1.19
-5.53711,2.46094,0.671165,-3.95508,-0.5,-0.25,-0.25,-4.74609,-2.28516,-0.559304,-3.16406,0.4375,-0.25,0.5625,-0.351562,1.2
-5.53711,2.46094,0.727095,-3.95508,-0.5625,-0.3125,-0.25,-4.74609,-2.37305,-0.559304,-3.16406,0.4375,-0.25,0.5625,-0.410156,1.21
-5.53711,2.46094,0.671165,-3.86719,-0.5,-0.25,-0.1875,-4.92188,-2.37305,-0.559304,-3.16406,0.4375,-0.25,0.5625,-0.117188,1.22
-5.53711,2.54883,0.671165,-3.86719,-0.5,-0.25,-0.1875,-4.74609,-2.28516,-0.559304,-3.16406,0.4375,-0.25,0.5625,-0.234375,1.23
-5.44922,2.54883,0.671165,-3.95508,-0.5,-0.25,-0.1875,-4.74609,-2.37305,-0.615234,-3.16406,0.4375,-0.25,0.5625,-0.46875,1.24
-5.53711,2.54883,0.671165,-3.95508,-0.5,-0.25,-0.25,-4.74609,-2.37305,-0.559304,-3.16406,0.4375,-0.25,0.5625,-0.117188,1.25
-5.53711,2.54883,0.727095,-3.95508,-0.5,-0.25,-0.1875,-4.74609,-2.37305,-0.559304,-3.16406,0.3125,-0.25,0.5625,-0.234375,1.26
-5.53711,2.54883,0.727095,-3.86719,-0.5,-0.25,-0.1875,-4.92188,-2.37305,-0.559304,-3.16406,0.4375,-0.25,0.5625,-0.351562,1.27
-5.53711,2.54883,0.727095,-3.95508,-0.5,-0.25,-0.1875,-4.92188,-2.37305,-0.559304,-3.16406,0.4375,-0.25,0.5625,-0.292969,1.28
-5.53711,2.54883,0.727095,-3.95508,-0.5625,-0.3125,-0.1875,-4.74609,-2.37305,-0.503374,-3.16406,0.4375,-0.25,0.5625,-0.46875,1.29
