left_hand_wrench.f_x,left_hand_wrench.f_y,left_hand_wrench.f_z,left_hand_wrench.tau_x,left_hand_wrench.tau_y,left_hand_wrench.tau_z,right_hand_wrench.f_x,right_hand_wrench.f_y,right_hand_wrench.f_z,right_hand_wrench.tau_x,right_hand_wrench.tau_y,right_hand_wrench.tau_z,time.t
4.49817,3.27355,18.9935,-0.345699,0.999808,-0.530637,4.78797,-3.93123,15.0032,0.58135,0.843382,0.761049,0.889999
4.49131,3.28676,18.952,-0.347441,0.994206,-0.536453,4.77382,-3.91853,14.9996,0.582157,0.843067,0.758142,0.899999
4.48372,3.28491,18.9969,-0.347269,0.999306,-0.540227,4.76,-3.90217,14.9951,0.579342,0.842436,0.756775,0.909999
4.44932,3.27144,19.0517,-0.342941,1.00229,-0.539384,4.74759,-3.90892,14.9976,0.580547,0.842658,0.756887,0.919999
4.44491,3.26107,19.0864,-0.339103,1.00575,-0.539055,4.70855,-3.90063,15.0631,0.577341,0.843964,0.757732,0.929999
4.44166,3.27973,19.0902,-0.340438,1.00191,-0.541641,4.75432,-3.91013,15.0269,0.576302,0.84498,0.756971,0.939999
4.44166,3.29621,19.0397,-0.343751,0.995757,-0.54359,4.7954,-3.91997,14.9949,0.577962,0.846602,0.757901,0.949999
4.43985,3.29348,19.0423,-0.341923,0.991752,-0.541416,4.83354,-3.93244,14.9668,0.580399,0.847704,0.755875,0.959999
4.43919,3.30108,19.0448,-0.344393,0.988976,-0.543268,4.86786,-3.94365,14.9415,0.582592,0.848699,0.754055,0.969999
4.43799,3.30169,19.0811,-0.345575,0.99425,-0.543588,4.89754,-3.95012,14.9181,0.583617,0.84995,0.755281,0.979999
4.43535,3.29449,19.0789,-0.342518,0.990737,-0.54418,4.87035,-3.94716,14.927,0.580856,0.849072,0.756787,0.989999
4.43595,3.28285,19.0242,-0.341431,0.984415,-0.539425,4.82036,-3.94628,14.9664,0.582205,0.842371,0.757718,0.999999
4.4619,3.29689,18.9651,-0.34366,0.981122,-0.544788,4.82688,-3.93809,15.0038,0.578977,0.84536,0.75932,1.01
4.43087,3.28613,19.0237,-0.340738,0.98558,-0.540722,4.78199,-3.91526,15.0648,0.579267,0.846305,0.756088,1.02
4.42952,3.27815,19.062,-0.338173,0.990363,-0.537485,4.74059,-3.88979,15.1183,0.575994,0.846804,0.75442,1.03
4.42932,3.28107,19.0965,-0.339978,0.995496,-0.538386,4.78197,-3.87528,15.0692,0.570409,0.8471,0.755507,1.04
4.42819,3.27361,19.1275,-0.33749,0.999286,-0.535382,4.76857,-3.88838,15.065,0.573454,0.846499,0.752884,1.05
4.42774,3.27316,19.1213,-0.336291,0.994925,-0.534028,4.75535,-3.89652,15.0605,0.575249,0.846315,0.753384,1.06
4.4541,3.27573,19.087,-0.334923,0.997181,-0.532006,4.74343,-3.90386,15.0565,0.576863,0.846151,0.753836,1.07
4.45207,3.28024,19.0863,-0.337645,0.9934,-0.529895,4.73488,-3.89752,15.0483,0.579064,0.845202,0.748788,1.08
4.45056,3.293,19.1186,-0.343621,0.999061,-0.535364,4.72502,-3.90473,15.0455,0.580299,0.845145,0.749695,1.09
4.47658,3.2871,19.0797,-0.345558,1.00128,-0.534386,4.71612,-3.91122,15.043,0.581407,0.845098,0.750514,1.1
4.46942,3.27512,19.1116,-0.341461,1.00484,-0.534552,4.71034,-3.90416,15.0361,0.583154,0.844254,0.745798,1.11
