left_hand_wrench.f_x,left_hand_wrench.f_y,left_hand_wrench.f_z,left_hand_wrench.tau_x,left_hand_wrench.tau_y,left_hand_wrench.tau_z,right_hand_wrench.f_x,right_hand_wrench.f_y,right_hand_wrench.f_z,right_hand_wrench.tau_x,right_hand_wrench.tau_y,right_hand_wrench.tau_z,time.t
-1.34204,2.80198,7.34182,0.768247,0.675542,-1.41657,0.101852,-4.08529,6.96654,-0.935226,1.4867,0.270402,0.839999
-1.36443,2.64205,7.68398,0.81638,0.748254,-1.36411,0.404046,-4.32617,6.35749,-0.849041,1.48175,0.305202,0.849999
-1.35175,2.69997,7.34942,0.807531,0.669752,-1.37651,0.122987,-3.97245,6.93242,-0.898037,1.48695,0.233873,0.859999
-1.33319,2.63628,7.29414,0.767451,0.670969,-1.3897,0.390503,-4.06791,6.28411,-0.897224,1.47579,0.316152,0.869999
-1.33325,2.63625,7.29421,0.767491,0.670963,-1.38968,0.404109,-4.32621,6.35762,-0.849023,1.48175,0.305244,0.879999
-1.32998,2.84321,7.35078,0.756544,0.672601,-1.3898,0.393109,-4.27353,6.34165,-0.8862,1.4772,0.315382,0.889999
-1.33089,2.57534,7.31042,0.79506,0.662259,-1.32287,0.393514,-4.22468,6.36278,-0.889467,1.47492,0.266191,0.899999
-1.33306,2.5884,7.31935,0.768904,0.669699,-1.34064,0.393424,-4.22461,6.36293,-0.889481,1.4749,0.266175,0.909999
-1.36468,2.64217,7.684,0.816457,0.748208,-1.36409,0.393275,-4.22449,6.3631,-0.889501,1.47489,0.266143,0.919999
-1.35198,2.7001,7.34955,0.807575,0.669696,-1.37651,0.123553,-4.23976,6.97701,-0.857578,1.49811,0.299356,0.929999
-1.33325,2.63626,7.29408,0.767541,0.670972,-1.38964,0.393132,-4.27346,6.34167,-0.8862,1.4772,0.315368,0.939999
-1.34206,2.802,7.34179,0.768323,0.675525,-1.41651,0.37277,-4.11344,6.68553,-0.937164,1.54844,0.263875,0.949999
-1.33332,2.6364,7.29417,0.767569,0.670913,-1.38965,0.403616,-4.05904,6.31282,-0.889473,1.47059,0.23978,0.959999
-1.32323,2.69064,7.31156,0.729659,0.675448,-1.38069,0.113032,-4.13826,6.98228,-0.898011,1.49127,0.260336,0.969999
-1.33292,2.58865,7.31933,0.768916,0.669658,-1.34066,0.100335,-4.09845,6.97452,-0.909053,1.49418,0.287551,0.979999
-1.628,2.66514,7.97091,0.777371,0.691219,-1.36169,0.123093,-3.97264,6.93231,-0.898019,1.48695,0.233922,0.989999
-1.33333,2.63632,7.2939,0.767627,0.670927,-1.38962,0.401322,-4.12076,6.30012,-0.860075,1.48033,0.306037,0.999999
-1.34203,2.80211,7.34184,0.768311,0.675496,-1.41653,0.0894014,-4.04559,6.95868,-0.946209,1.48963,0.297662,1.01
-1.34302,2.53437,7.30176,0.806851,0.665123,-1.3496,0.382545,-4.17171,6.34703,-0.926627,1.47037,0.276275,1.02
