left_arm_torques.tau_1,left_arm_torques.tau_2,left_arm_torques.tau_3,left_arm_torques.tau_4,left_arm_torques.tau_5,left_arm_torques.tau_6,left_arm_torques.tau_7,right_arm_torques.tau_1,right_arm_torques.tau_2,right_arm_torques.tau_3,right_arm_torques.tau_4,right_arm_torques.tau_5,right_arm_torques.tau_6,right_arm_torques.tau_7,waist_torque.tau_w,time.t
-0.703125,2.54883,-0.894886,-0.878906,0.875,0.25,-0.125,-0.0878906,-3.42773,-0.335582,0.263672,-0.5,1.1875,-0.75,-0.117188,0.909999
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.3125,-0.125,-0.0878906,-3.42773,-0.335582,0.263672,-0.5,1.1875,-0.75,-0.234375,0.919999
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.42773,-0.335582,0.175781,-0.5,1.1875,-0.6875,-0.644531,0.929999
-0.703125,2.54883,-0.894886,-0.878906,0.9375,0.25,-0.1875,-0.0878906,-3.42773,-0.335582,0.263672,-0.5625,1.1875,-0.6875,-0.527344,0.939999
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.1875,-0.0878906,-3.42773,-0.335582,0.263672,-0.5625,1.25,-0.75,-0.234375,0.949999
-0.703125,2.54883,-0.894886,-0.878906,0.9375,0.25,-0.1875,-0.0878906,-3.33984,-0.335582,0.263672,-0.5,1.1875,-0.75,-0.644531,0.959999
-0.703125,2.54883,-0.894886,-0.878906,0.875,0.25,-0.1875,-0.0878906,-3.42773,-0.335582,0.175781,-0.5,1.1875,-0.75,-0.585938,0.969999
-0.703125,2.54883,-0.894886,-0.878906,0.875,0.25,-0.125,-0.0878906,-3.42773,-0.279652,0.175781,-0.5,1.1875,-0.75,-0.351562,0.979999
-0.703125,2.63672,-0.894886,-0.966797,0.875,0.25,-0.125,-0.0878906,-3.33984,-0.335582,0.175781,-0.5,1.1875,-0.75,-0.351562,0.989999
-0.703125,2.54883,-0.894886,-0.878906,0.9375,0.25,-0.1875,-0.0878906,-3.33984,-0.279652,0.263672,-0.5,1.1875,-0.6875,-0.703125,0.999999
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.1875,-0.0878906,-3.42773,-0.279652,0.175781,-0.5625,1.1875,-0.75,-0.234375,1.01
-0.703125,2.54883,-0.894886,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.42773,-0.335582,0.263672,-0.5625,1.1875,-0.75,-0.292969,1.02
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.1875,-0.0878906,-3.33984,-0.335582,0.263672,-0.5,1.1875,-0.6875,-0.234375,1.03
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.42773,-0.335582,0.175781,-0.5,1.1875,-0.75,-0.234375,1.04
-0.703125,2.54883,-0.894886,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.42773,-0.335582,0.263672,-0.5,1.1875,-0.75,-0.234375,1.05
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.1875,-0.0878906,-3.42773,-0.335582,0.263672,-0.5,1.1875,-0.75,-0.351562,1.06
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.1875,-0.0878906,-3.42773,-0.335582,0.263672,-0.5625,1.1875,-0.6875,-0.46875,1.07
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.1875,-0.0878906,-3.33984,-0.391513,0.263672,-0.5625,1.1875,-0.75,-0.234375,1.08
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.1875,-0.0878906,-3.42773,-0.335582,0.263672,-0.5,1.1875,-0.75,0,1.09
-0.703125,2.63672,-0.894886,-0.966797,0.9375,0.25,-0.125,-0.0878906,-3.33984,-0.335582,0.263672,-0.5,1.1875,-0.75,-0.46875,1.1
-0.703125,2.54883,-0.894886,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.42773,-0.335582,0.175781,-0.5,1.1875,-0.6875,-0.292969,1.11
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.1875,-0.0878906,-3.33984,-0.335582,0.263672,-0.5,1.1875,-0.75,-0.292969,1.12
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.42773,-0.335582,0.263672,-0.5,1.1875,-0.75,-0.351562,1.13
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.42773,-0.335582,0.263672,-0.5,1.1875,-0.6875,-0.351562,1.14
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.42773,-0.335582,0.263672,-0.5625,1.1875,-0.75,-0.292969,1.15
-0.703125,2.54883,-0.894886,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.33984,-0.335582,0.263672,-0.5,1.1875,-0.6875,-0.410156,1.16
-0.703125,2.63672,-0.950817,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.42773,-0.335582,0.175781,-0.5,1.1875,-0.6875,-0.46875,1.17
-0.703125,2.54883,-0.894886,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.42773,-0.279652,0.263672,-0.5,1.1875,-0.75,-0.46875,1.18
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.33984,-0.335582,0.263672,-0.5,1.1875,-0.75,-0.46875,1.19
-0.703125,2.54883,-0.894886,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.42773,-0.335582,0.263672,-0.5625,1.1875,-0.6875,-0.234375,1.2
-0.703125,2.54883,-0.894886,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.33984,-0.335582,0.175781,-0.5625,1.1875,-0.6875,-0.761719,1.21
-0.703125,2.54883,-0.894886,-0.878906,1,0.25,-0.125,-0.0878906,-3.42773,-0.335582,0.175781,-0.5625,1.1875,-0.6875,-0.46875,1.22
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.1875,-0.0878906,-3.42773,-0.279652,0.263672,-0.5,1.1875,-0.75,-0.527344,1.23
-0.703125,2.54883,-0.894886,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.42773,-0.279652,0.263672,-0.5625,1.1875,-0.75,-0.351562,1.24
-0.703125,2.63672,-0.838956,-0.966797,1,0.25,-0.1875,-0.0878906,-3.42773,-0.335582,0.175781,-0.5,1.1875,-0.75,-0.46875,1.25
-0.703125,2.63672,-0.894886,-0.878906,0.875,0.25,-0.125,-0.0878906,-3.33984,-0.335582,0.175781,-0.5625,1.1875,-0.6875,-0.410156,1.26
-0.703125,2.54883,-0.894886,-0.878906,0.9375,0.25,-0.1875,-0.0878906,-3.42773,-0.335582,0.263672,-0.5,1.1875,-0.6875,-0.351562,1.27
-0.703125,2.54883,-0.894886,-0.878906,0.9375,0.25,-0.1875,-0.0878906,-3.33984,-0.335582,0.175781,-0.5,1.1875,-0.6875,-0.351562,1.28
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.1875,0,-3.33984,-0.335582,0.175781,-0.5625,1.1875,-0.75,-0.46875,1.29
-0.703125,2.63672,-0.894886,-0.966797,0.9375,0.25,-0.125,-0.0878906,-3.42773,-0.335582,0.263672,-0.5,1.1875,-0.6875,-0.644531,1.3
-0.703125,2.54883,-0.838956,-0.966797,0.9375,0.25,-0.1875,-0.0878906,-3.42773,-0.335582,0.175781,-0.5,1.1875,-0.6875,-0.46875,1.31
-0.703125,2.54883,-0.894886,-0.878906,0.875,0.25,-0.125,-0.0878906,-3.33984,-0.279652,0.263672,-0.5,1.1875,-0.75,0,1.32
-0.703125,2.63672,-0.894886,-0.878906,0.875,0.25,-0.125,-0.0878906,-3.42773,-0.335582,0.263672,-0.5,1.1875,-0.75,-0.585938,1.33
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.3125,-0.125,-0.0878906,-3.33984,-0.335582,0.263672,-0.5,1.1875,-0.75,-0.234375,1.34
-0.703125,2.54883,-0.894886,-0.878906,0.9375,0.25,-0.125,0,-3.42773,-0.279652,0.263672,-0.5625,1.1875,-0.6875,-0.351562,1.35
-0.703125,2.54883,-0.950817,-0.878906,0.9375,0.3125,-0.1875,0,-3.42773,-0.335582,0.263672,-0.5,1.1875,-0.6875,-0.410156,1.36
-0.703125,2.54883,-0.894886,-0.878906,0.9375,0.3125,-0.125,-0.0878906,-3.33984,-0.335582,0.263672,-0.5625,1.1875,-0.6875,-0.234375,1.37
-0.703125,2.54883,-0.894886,-0.966797,0.9375,0.3125,-0.125,-0.0878906,-3.33984,-0.335582,0.263672,-0.5,1.1875,-0.75,-0.410156,1.38
-0.703125,2.54883,-0.894886,-0.878906,0.875,0.3125,-0.125,-0.0878906,-3.42773,-0.335582,0.175781,-0.5,1.1875,-0.75,-0.351562,1.39
-0.703125,2.54883,-0.894886,-0.878906,0.9375,0.3125,-0.125,-0.0878906,-3.42773,-0.279652,0.263672,-0.5625,1.1875,-0.75,-0.410156,1.4
-0.703125,2.54883,-0.894886,-0.878906,0.9375,0.3125,-0.125,0,-3.42773,-0.335582,0.263672,-0.5,1.1875,-0.6875,-0.410156,1.41
-0.703125,2.54883,-0.894886,-0.878906,0.9375,0.3125,-0.125,-0.0878906,-3.33984,-0.335582,0.263672,-0.5625,1.1875,-0.6875,-0.410156,1.42
-0.703125,2.54883,-0.894886,-0.878906,0.9375,0.3125,-0.125,-0.0878906,-3.42773,-0.335582,0.263672,-0.5,1.1875,-0.6875,-0.410156,1.43
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.3125,-0.1875,-0.0878906,-3.42773,-0.335582,0.175781,-0.5,1.25,-0.75,-0.46875,1.44
-0.703125,2.54883,-0.894886,-0.966797,0.9375,0.3125,-0.1875,-0.0878906,-3.42773,-0.335582,0.263672,-0.5,1.1875,-0.75,-0.351562,1.45
-0.703125,2.54883,-0.894886,-0.878906,0.9375,0.3125,-0.1875,-0.0878906,-3.42773,-0.335582,0.175781,-0.5625,1.1875,-0.75,-0.117188,1.46
-0.703125,2.63672,-0.894886,-0.966797,0.9375,0.3125,-0.125,-0.0878906,-3.42773,-0.335582,0.263672,-0.5,1.1875,-0.75,-0.292969,1.47
-0.703125,2.54883,-0.894886,-0.878906,0.9375,0.3125,-0.125,-0.0878906,-3.42773,-0.335582,0.175781,-0.5,1.1875,-0.75,0.234375,1.48
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.25,-0.125,-0.0878906,-3.42773,-0.335582,0.175781,-0.5,1.1875,-0.6875,-0.644531,1.49
-0.703125,2.54883,-0.894886,-0.878906,0.9375,0.3125,-0.125,-0.0878906,-3.33984,-0.335582,0.175781,-0.5,1.1875,-0.75,-0.351562,1.5
-0.703125,2.63672,-0.894886,-0.878906,0.9375,0.3125,-0.125,-0.0878906,-3.33984,-0.335582,0.263672,-0.5,1.1875,-0.6875,-0.234375,1.51
