left_arm_positions.q_1,left_arm_positions.q_2,left_arm_positions.q_3,left_arm_positions.q_4,left_arm_positions.q_5,left_arm_positions.q_6,left_arm_positions.q_7,right_arm_positions.q_1,right_arm_positions.q_2,right_arm_positions.q_3,right_arm_positions.q_4,right_arm_positions.q_5,right_arm_positions.q_6,right_arm_positions.q_7,waist_position.q_w,time.t
-0.022038,0.201463,-0.114245,0.422697,-0.0923064,0.350632,-0.141633,-0.0129875,-0.197653,0.127881,0.44275,0.0829709,0.353184,0.162222,0.00058805,0.74
-0.0220299,0.201463,-0.114219,0.422705,-0.0923064,0.350644,-0.141633,-0.012962,-0.19767,0.127908,0.442758,0.0829828,0.353208,0.16221,0.00058805,0.75
-0.0220299,0.201463,-0.114232,0.422714,-0.0922945,0.350632,-0.141621,-0.012996,-0.19767,0.127894,0.442758,0.082947,0.353184,0.162222,0.00058805,0.76
-0.022038,0.201471,-0.114219,0.422697,-0.0923064,0.350608,-0.141621,-0.0129875,-0.19767,0.127894,0.442741,0.0829349,0.353196,0.162222,0.00058805,0.77
-0.0220299,0.201463,-0.114245,0.422705,-0.0923064,0.350608,-0.141633,-0.0129875,-0.19767,0.127908,0.44275,0.082947,0.353208,0.162222,0.000562483,0.78
-0.0220299,0.201463,-0.114232,0.422688,-0.0923185,0.350608,-0.141621,-0.0129705,-0.197645,0.127894,0.44275,0.0829709,0.353208,0.162222,0.00058805,0.79
-0.022038,0.201463,-0.114245,0.422697,-0.0923064,0.350596,-0.141633,-0.0129875,-0.197662,0.127881,0.442741,0.0829709,0.353208,0.16221,0.00058805,0.8
-0.022038,0.201437,-0.114232,0.422697,-0.0923064,0.350596,-0.141645,-0.0129875,-0.197662,0.127908,0.44275,0.0829828,0.353196,0.162222,0.00058805,0.81
-0.022038,0.201429,-0.114219,0.422688,-0.0922945,0.350596,-0.141645,-0.0129705,-0.197653,0.127908,0.442741,0.0829589,0.353184,0.162198,0.000562483,0.82
-0.0220299,0.201429,-0.114219,0.422688,-0.0922945,0.350596,-0.141633,-0.0129875,-0.19767,0.127948,0.442741,0.0829828,0.353208,0.162222,0.00058805,0.83
-0.022038,0.201437,-0.114219,0.422705,-0.0923064,0.350596,-0.141657,-0.0129875,-0.197662,0.127921,0.442741,0.0829709,0.353196,0.162222,0.00058805,0.839999
-0.0220213,0.201437,-0.114219,0.422714,-0.0923064,0.35056,-0.141633,-0.0129875,-0.197679,0.127881,0.442741,0.082947,0.353184,0.162222,0.00058805,0.849999
-0.0220299,0.201429,-0.114205,0.422697,-0.0922945,0.35056,-0.141621,-0.0129705,-0.19767,0.127908,0.442741,0.0829709,0.353196,0.16221,0.000562483,0.859999
